Year,Unit,Count,Percentage
1993,State,8556,100
1994,State,8863,100
1995,State,9821,100
1996,State,10122,100
1997,State,8874,100
1998,State,8297,100
1999,State,7761,100
2000,State,7482,100
2001,State,6942,100
2002,State,5954,100
1993,Northern Region,3371,39.4
1994,Northern Region,3749,42.3
1995,Northern Region,4282,43.6
1996,Northern Region,4454,44
1997,Northern Region,3913,44.1
1998,Northern Region,3700,44.6
1999,Northern Region,3531,45.5
2000,Northern Region,3449,46.1
2001,Northern Region,3179,45.8
2002,Northern Region,2769,46.5
1993,Alameda ,334,3.9
1994,Alameda ,363,4.1
1995,Alameda ,393,4
1996,Alameda ,415,4.1
1997,Alameda ,346,3.9
1998,Alameda ,340,4.1
1999,Alameda ,341,4.4
2000,Alameda ,359,4.8
2001,Alameda ,285,4.1
2002,Alameda ,256,4.3
1993,Butte,34,0.4
1994,Butte,44,0.5
1995,Butte,29,0.3
1996,Butte,30,0.3
1997,Butte,27,0.3
1998,Butte,25,0.3
1999,Butte,31,0.4
2000,Butte,30,0.4
2001,Butte,14,0.2
2002,Butte,30,0.5
1993,Contra Costa ,171,2
1994,Contra Costa ,213,2.4
1995,Contra Costa ,216,2.2
1996,Contra Costa ,213,2.1
1997,Contra Costa ,195,2.2
1998,Contra Costa ,191,2.3
1999,Contra Costa ,186,2.4
2000,Contra Costa ,209,2.8
2001,Contra Costa ,201,2.9
2002,Contra Costa ,173,2.9
1993,Fresno,368,4.3
1994,Fresno,425,4.8
1995,Fresno,521,5.3
1996,Fresno,547,5.4
1997,Fresno,541,6.1
1998,Fresno,531,6.4
1999,Fresno,473,6.1
2000,Fresno,464,6.2
2001,Fresno,396,5.7
2002,Fresno,310,5.2
1993,Kern,334,3.9
1994,Kern,372,4.2
1995,Kern,442,4.5
1996,Kern,486,4.8
1997,Kern,373,4.2
1998,Kern,307,3.7
1999,Kern,256,3.3
2000,Kern,217,2.9
2001,Kern,160,2.3
2002,Kern,137,2.3
1993,Madera,60,0.7
1994,Madera,44,0.5
1995,Madera,59,0.6
1996,Madera,61,0.6
1997,Madera,62,0.7
1998,Madera,58,0.7
1999,Madera,70,0.9
2000,Madera,60,0.8
2001,Madera,56,0.8
2002,Madera,60,1
1993,Monterey,60,0.7
1994,Monterey,62,0.7
1995,Monterey,79,0.8
1996,Monterey,132,1.3
1997,Monterey,124,1.4
1998,Monterey,166,2
1999,Monterey,155,2
2000,Monterey,150,2
2001,Monterey,139,2
2002,Monterey,119,2
1993,Sacramento,325,3.8
1994,Sacramento,310,3.5
1995,Sacramento,334,3.4
1996,Sacramento,324,3.2
1997,Sacramento,293,3.3
1998,Sacramento,257,3.1
1999,Sacramento,217,2.8
2000,Sacramento,217,2.9
2001,Sacramento,222,3.2
2002,Sacramento,220,3.7
1993,San Francisco ,94,1.1
1994,San Francisco ,106,1.2
1995,San Francisco ,108,1.1
1996,San Francisco ,91,0.9
1997,San Francisco ,89,1
1998,San Francisco ,83,1
1999,San Francisco ,70,0.9
2000,San Francisco ,82,1.1
2001,San Francisco ,69,1
2002,San Francisco ,65,1.1
1993,San Joaquin ,265,3.1
1994,San Joaquin ,275,3.1
1995,San Joaquin ,295,3
1996,San Joaquin ,273,2.7
1997,San Joaquin ,240,2.7
1998,San Joaquin ,216,2.6
1999,San Joaquin ,225,2.9
2000,San Joaquin ,209,2.8
2001,San Joaquin ,194,2.8
2002,San Joaquin ,167,2.8
1993,San Mateo ,128,1.5
1994,San Mateo ,160,1.8
1995,San Mateo ,147,1.5
1996,San Mateo ,121,1.2
1997,San Mateo ,98,1.1
1998,San Mateo ,91,1.1
1999,San Mateo ,85,1.1
2000,San Mateo ,112,1.5
2001,San Mateo ,111,1.6
